data;tipoCombustivel;precoMedio
"2017-05-01";"Gasóleo simples";"1,2420 €"
"2017-05-02";"Gasóleo simples";"1,2354 €"
"2017-05-03";"Gasóleo simples";"1,2310 €"
"2017-05-04";"Gasóleo simples";"1,2299 €"
"2017-05-05";"Gasóleo simples";"1,2293 €"
"2017-05-06";"Gasóleo simples";"1,2247 €"
"2017-05-07";"Gasóleo simples";"1,2247 €"
"2017-05-08";"Gasóleo simples";"1,2161 €"
"2017-05-09";"Gasóleo simples";"1,2080 €"
"2017-05-10";"Gasóleo simples";"1,2067 €"
"2017-05-11";"Gasóleo simples";"1,2066 €"
"2017-05-12";"Gasóleo simples";"1,2057 €"
"2017-05-13";"Gasóleo simples";"1,2011 €"
"2017-05-14";"Gasóleo simples";"1,2012 €"
"2017-05-15";"Gasóleo simples";"1,2067 €"
"2017-05-16";"Gasóleo simples";"1,2084 €"
"2017-05-17";"Gasóleo simples";"1,2081 €"
"2017-05-18";"Gasóleo simples";"1,2083 €"
"2017-05-19";"Gasóleo simples";"1,2078 €"
"2017-05-20";"Gasóleo simples";"1,2034 €"
"2017-05-21";"Gasóleo simples";"1,2036 €"
"2017-05-22";"Gasóleo simples";"1,2149 €"
"2017-05-23";"Gasóleo simples";"1,2200 €"
"2017-05-24";"Gasóleo simples";"1,2200 €"
"2017-05-25";"Gasóleo simples";"1,2202 €"
"2017-05-26";"Gasóleo simples";"1,2201 €"
"2017-05-27";"Gasóleo simples";"1,2158 €"
"2017-05-28";"Gasóleo simples";"1,2160 €"
"2017-05-29";"Gasóleo simples";"1,2248 €"
"2017-05-30";"Gasóleo simples";"1,2261 €"
"2017-05-31";"Gasóleo simples";"1,2261 €"
"2017-06-01";"Gasóleo simples";"1,2260 €"
"2017-06-02";"Gasóleo simples";"1,2247 €"
"2017-06-03";"Gasóleo simples";"1,2201 €"
"2017-06-04";"Gasóleo simples";"1,2201 €"
"2017-06-05";"Gasóleo simples";"1,2174 €"
"2017-06-06";"Gasóleo simples";"1,2046 €"
"2017-06-07";"Gasóleo simples";"1,2026 €"
