# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/05/17;1.5;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;30/06/17;0.9;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/07/17;0.9;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/08/17;1.1;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;30/09/17;1.4;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/10/17;1.4;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;30/11/17;1.5;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/12/17;1.5;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/01/18;1.0;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;28/02/18;0.6;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/03/18;0.7;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;30/04/18;0.4;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/05/18;1.0;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;30/06/18;1.5;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/07/18;1.6;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/08/18;1.2;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;30/09/18;1.4;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/10/18;1.0;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;30/11/18;0.9;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/12/18;0.7;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/01/19;0.5;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;28/02/19;0.9;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/03/19;0.8;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;30/04/19;0.8;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/05/19;0.4;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;30/06/19;0.4;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/07/19;-0.3;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/08/19;-0.1;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;30/09/19;-0.1;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/10/19;0.0;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;30/11/19;0.3;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/12/19;0.4;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/01/20;0.8;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;29/02/20;0.4;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/03/20;0.0;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;30/04/20;-0.2;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/05/20;-0.7;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;30/06/20;0.1;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/07/20;0.1;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/08/20;0.0;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;30/09/20;-0.1;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/10/20;-0.1;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;30/11/20;-0.2;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/12/20;-0.2;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/01/21;0.3;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;28/02/21;0.5;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/03/21;0.5;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;30/04/21;0.6;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/05/21;1.2;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;30/06/21;0.5;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/07/21;1.5;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/08/21;1.5;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;30/09/21;1.5;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/10/21;1.8;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;30/11/21;2.6;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/12/21;2.7;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;31/01/22;3.3;
5721524;IPC total-taxa de variação homóloga;Taxa de variação homóloga;Percentagem;28/02/22;4.2;
