# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/05/17;45.045;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/06/17;40.846;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/07/17;42.148;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/08/17;44.080;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/09/17;47.839;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/10/17;48.938;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/11/17;53.768;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/12/17;54.789;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/01/18;56.890;
12645918;Preço do petróleo em EUR-M;Valor;Euro;28/02/18;52.740;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/03/18;53.431;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/04/18;58.805;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/05/18;65.876;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/06/18;63.206;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/07/18;63.420;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/08/18;62.367;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/09/18;67.827;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/10/18;71.024;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/11/18;56.268;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/12/18;49.801;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/01/19;51.714;
12645918;Preço do petróleo em EUR-M;Valor;Euro;28/02/19;56.627;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/03/19;58.396;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/04/19;63.599;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/05/19;64.417;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/06/19;58.145;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/07/19;57.114;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/08/19;52.827;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/09/19;57.635;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/10/19;54.585;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/11/19;57.849;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/12/19;62.090;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/01/20;58.032;
12645918;Preço do petróleo em EUR-M;Valor;Euro;29/02/20;51.771;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/03/20;29.014;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/04/20;13.694;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/05/20;25.569;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/06/20;35.942;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/07/20;38.316;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/08/20;38.318;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/09/20;34.552;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/10/20;33.804;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/11/20;35.497;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/12/20;41.243;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/01/21;44.866;
12645918;Preço do petróleo em EUR-M;Valor;Euro;28/02/21;51.888;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/03/21;55.199;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/04/21;54.070;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/05/21;56.021;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/06/21;60.652;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/07/21;62.922;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/08/21;59.481;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/09/21;63.380;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/10/21;72.106;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/11/21;71.414;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/12/21;66.305;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/01/22;77.794;
12645918;Preço do petróleo em EUR-M;Valor;Euro;28/02/22;87.986;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/03/22;111.327;
12645918;Preço do petróleo em EUR-M;Valor;Euro;30/04/22;96.439;
12645918;Preço do petróleo em EUR-M;Valor;Euro;31/05/22;108.067;
